County,Data Generation Date,OSHPD Project Status,Total Costs of OSHPD Projects,Number of OSHPD Projects,Collection of Counties
30 - Orange,12/29/2016,In Closure,8022359,38,Greater Los Angeles Counties
31 - Placer,12/29/2016,In Review,84296265,16,Greater Sacramento Counties
31 - Placer,12/29/2016,Pending Construction,4184630,13,Greater Sacramento Counties
31 - Placer,12/29/2016,In Construction,17576872,29,Greater Sacramento Counties
31 - Placer,12/29/2016,In Closure,4175445,12,Greater Sacramento Counties
32 - Plumas,12/29/2016,In Review,0,0,
32 - Plumas,12/29/2016,Pending Construction,80000,4,
32 - Plumas,12/29/2016,In Construction,18859,3,
32 - Plumas,12/29/2016,In Closure,0,0,
33 - Riverside,12/29/2016,In Review,160235520,62,
33 - Riverside,12/29/2016,Pending Construction,53632164,58,
33 - Riverside,12/29/2016,In Construction,406336851,114,
33 - Riverside,12/29/2016,In Closure,31541648,41,
34 - Sacramento,12/29/2016,In Review,112792573,55,Greater Sacramento Counties
34 - Sacramento,12/29/2016,Pending Construction,69150706,60,Greater Sacramento Counties
34 - Sacramento,12/29/2016,In Construction,238358933,129,Greater Sacramento Counties
34 - Sacramento,12/29/2016,In Closure,179588505,51,Greater Sacramento Counties
35 - San Benito,12/29/2016,In Review,75000,1,
35 - San Benito,12/29/2016,Pending Construction,0,0,
35 - San Benito,12/29/2016,In Construction,103388,1,
35 - San Benito,12/29/2016,In Closure,23749165,3,
36 - San Bernardino,12/29/2016,In Review,620611321,77,
36 - San Bernardino,12/29/2016,Pending Construction,53551831,75,
36 - San Bernardino,12/29/2016,In Construction,291103501,129,
36 - San Bernardino,12/29/2016,In Closure,32450035,45,
37 - San Diego,12/29/2016,In Review,213281870,90,
37 - San Diego,12/29/2016,Pending Construction,53057812,122,
37 - San Diego,12/29/2016,In Construction,402738294,243,
37 - San Diego,12/29/2016,In Closure,61018768,73,
38 - San Francisco,12/29/2016,In Review,101377604,75,Bay Area Counties
38 - San Francisco,12/29/2016,Pending Construction,15110605,38,Bay Area Counties
38 - San Francisco,12/29/2016,In Construction,1360242174,122,Bay Area Counties
38 - San Francisco,12/29/2016,In Closure,346521691,47,Bay Area Counties
39 - San Joaquin,12/29/2016,In Review,23655883,20,
39 - San Joaquin,12/29/2016,Pending Construction,26075698,13,
39 - San Joaquin,12/29/2016,In Construction,23307344,31,
39 - San Joaquin,12/29/2016,In Closure,6398663,19,
40 - San Luis Obispo,12/29/2016,In Review,5875680,3,
40 - San Luis Obispo,12/29/2016,Pending Construction,1617200,6,
40 - San Luis Obispo,12/29/2016,In Construction,6091700,16,
40 - San Luis Obispo,12/29/2016,In Closure,92350,2,
41 - San Mateo,12/29/2016,In Review,30247577,28,Bay Area Counties
41 - San Mateo,12/29/2016,Pending Construction,133230147,22,Bay Area Counties
41 - San Mateo,12/29/2016,In Construction,67458445,52,Bay Area Counties
41 - San Mateo,12/29/2016,In Closure,10231937,20,Bay Area Counties
42 - Santa Barbara,12/29/2016,In Review,10681736,16,
42 - Santa Barbara,12/29/2016,Pending Construction,315600,9,
42 - Santa Barbara,12/29/2016,In Construction,226679799,44,
42 - Santa Barbara,12/29/2016,In Closure,15647401,15,
43 - Santa Clara,12/29/2016,In Review,274600148,62,Bay Area Counties
43 - Santa Clara,12/29/2016,Pending Construction,34059835,60,Bay Area Counties
43 - Santa Clara,12/29/2016,In Construction,1794362268,145,Bay Area Counties
43 - Santa Clara,12/29/2016,In Closure,32069010,38,Bay Area Counties
44 - Santa Cruz,12/29/2016,In Review,12538544,10,
44 - Santa Cruz,12/29/2016,Pending Construction,1600481,8,
44 - Santa Cruz,12/29/2016,In Construction,7994846,16,
44 - Santa Cruz,12/29/2016,In Closure,2014876,3,
45 - Shasta,12/29/2016,In Review,2273481,13,
45 - Shasta,12/29/2016,Pending Construction,1157950,7,
45 - Shasta,12/29/2016,In Construction,5693181,17,
45 - Shasta,12/29/2016,In Closure,1112509,4,
46 - Sierra,12/29/2016,In Review,0,0,
46 - Sierra,12/29/2016,Pending Construction,0,0,
46 - Sierra,12/29/2016,In Construction,0,0,
46 - Sierra,12/29/2016,In Closure,0,0,
47 - Siskiyou,12/29/2016,In Review,4130500,3,
47 - Siskiyou,12/29/2016,Pending Construction,1668238,6,
47 - Siskiyou,12/29/2016,In Construction,1497250,4,
47 - Siskiyou,12/29/2016,In Closure,396887,3,
48 - Solano,12/29/2016,In Review,1542971,15,Bay Area Counties
48 - Solano,12/29/2016,Pending Construction,1839286,20,Bay Area Counties
48 - Solano,12/29/2016,In Construction,79291268,23,Bay Area Counties
48 - Solano,12/29/2016,In Closure,10272787,15,Bay Area Counties
49 - Sonoma,12/29/2016,In Review,32731732,27,Bay Area Counties
49 - Sonoma,12/29/2016,Pending Construction,5937363,21,Bay Area Counties
49 - Sonoma,12/29/2016,In Construction,17888081,51,Bay Area Counties
49 - Sonoma,12/29/2016,In Closure,1935044,16,Bay Area Counties
50 - Stanislaus,12/29/2016,In Review,12495583,11,
50 - Stanislaus,12/29/2016,Pending Construction,4452192,17,
50 - Stanislaus,12/29/2016,In Construction,17051971,30,
50 - Stanislaus,12/29/2016,In Closure,951618,9,
51 - Sutter,12/29/2016,In Review,313372,4,
51 - Sutter,12/29/2016,Pending Construction,0,0,
51 - Sutter,12/29/2016,In Construction,30925,2,
51 - Sutter,12/29/2016,In Closure,35179,1,
52 - Tehama,12/29/2016,In Review,165000,2,
52 - Tehama,12/29/2016,Pending Construction,330000,2,
52 - Tehama,12/29/2016,In Construction,1418291,7,
52 - Tehama,12/29/2016,In Closure,338468,1,
53 - Trinity,12/29/2016,In Review,0,0,
53 - Trinity,12/29/2016,Pending Construction,178500,3,
53 - Trinity,12/29/2016,In Construction,1382817,1,
53 - Trinity,12/29/2016,In Closure,0,0,
54 - Tulare,12/29/2016,In Review,25611544,8,
54 - Tulare,12/29/2016,Pending Construction,4223080,9,
54 - Tulare,12/29/2016,In Construction,47610436,23,
54 - Tulare,12/29/2016,In Closure,843680,6,
55 - Tuolumne,12/29/2016,In Review,0,0,
55 - Tuolumne,12/29/2016,Pending Construction,68000,1,
55 - Tuolumne,12/29/2016,In Construction,1915602,1,
55 - Tuolumne,12/29/2016,In Closure,0,0,
56 - Ventura,12/29/2016,In Review,28508804,32,Greater Los Angeles Counties
56 - Ventura,12/29/2016,Pending Construction,2652981,23,Greater Los Angeles Counties
56 - Ventura,12/29/2016,In Construction,590229025,68,Greater Los Angeles Counties
56 - Ventura,12/29/2016,In Closure,18282526,7,Greater Los Angeles Counties
57 - Yolo,12/29/2016,In Review,4772065,9,Greater Sacramento Counties
57 - Yolo,12/29/2016,Pending Construction,83000,2,Greater Sacramento Counties
57 - Yolo,12/29/2016,In Construction,9629413,8,Greater Sacramento Counties
57 - Yolo,12/29/2016,In Closure,3271901,5,Greater Sacramento Counties
58 - Yuba,12/29/2016,In Review,527948,3,
58 - Yuba,12/29/2016,Pending Construction,6675260,9,
58 - Yuba,12/29/2016,In Construction,54650519,10,
58 - Yuba,12/29/2016,In Closure,89170550,2,
01 - Alameda,1/12/2017,In Review,163101820,49,Bay Area Counties
01 - Alameda,1/12/2017,Pending Construction,71485442,42,Bay Area Counties
01 - Alameda,1/12/2017,In Construction,547047623,113,Bay Area Counties
01 - Alameda,1/12/2017,In Closure,7374181,25,Bay Area Counties
02 - Alpine,1/12/2017,In Review,0,0,
02 - Alpine,1/12/2017,Pending Construction,0,0,
02 - Alpine,1/12/2017,In Construction,0,0,
02 - Alpine,1/12/2017,In Closure,0,0,
03 - Amador,1/12/2017,In Review,1461329,2,
03 - Amador,1/12/2017,Pending Construction,480000,3,
03 - Amador,1/12/2017,In Construction,4058256,8,
03 - Amador,1/12/2017,In Closure,199818,2,
04 - Butte,1/12/2017,In Review,87190000,6,
04 - Butte,1/12/2017,Pending Construction,2406929,5,
04 - Butte,1/12/2017,In Construction,1386192,9,
04 - Butte,1/12/2017,In Closure,1732156,3,
05 - Calaveras,1/12/2017,In Review,300000,2,
05 - Calaveras,1/12/2017,Pending Construction,0,0,
05 - Calaveras,1/12/2017,In Construction,149334,3,
05 - Calaveras,1/12/2017,In Closure,0,0,
06 - Colusa,1/12/2017,In Review,0,0,
06 - Colusa,1/12/2017,Pending Construction,0,0,
06 - Colusa,1/12/2017,In Construction,0,0,
06 - Colusa,1/12/2017,In Closure,0,0,
07 - Contra Costa,1/12/2017,In Review,63730008,25,Bay Area Counties
07 - Contra Costa,1/12/2017,Pending Construction,11601131,33,Bay Area Counties
07 - Contra Costa,1/12/2017,In Construction,36116601,55,Bay Area Counties
07 - Contra Costa,1/12/2017,In Closure,10673396,20,Bay Area Counties
08 - Del Norte,1/12/2017,In Review,15000,1,
08 - Del Norte,1/12/2017,Pending Construction,52100,2,
08 - Del Norte,1/12/2017,In Construction,2894634,6,
08 - Del Norte,1/12/2017,In Closure,48435,2,
09 - El Dorado,1/12/2017,In Review,4548080,8,Greater Sacramento Counties
09 - El Dorado,1/12/2017,Pending Construction,3466245,3,Greater Sacramento Counties
09 - El Dorado,1/12/2017,In Construction,12456848,15,Greater Sacramento Counties
09 - El Dorado,1/12/2017,In Closure,3487486,3,Greater Sacramento Counties
10 - Fresno,1/12/2017,In Review,155473200,17,
10 - Fresno,1/12/2017,Pending Construction,836569,7,
10 - Fresno,1/12/2017,In Construction,80945593,96,
10 - Fresno,1/12/2017,In Closure,1836899,21,
11 - Glenn,1/12/2017,In Review,0,0,
11 - Glenn,1/12/2017,Pending Construction,12962075,2,
11 - Glenn,1/12/2017,In Construction,0,0,
11 - Glenn,1/12/2017,In Closure,284685,1,
12 - Humboldt,1/12/2017,In Review,713100,3,
12 - Humboldt,1/12/2017,Pending Construction,9128500,8,
12 - Humboldt,1/12/2017,In Construction,88125026,11,
12 - Humboldt,1/12/2017,In Closure,2524583,7,
13 - Imperial,1/12/2017,In Review,8352600,7,
13 - Imperial,1/12/2017,Pending Construction,43240000,3,
13 - Imperial,1/12/2017,In Construction,30571603,9,
13 - Imperial,1/12/2017,In Closure,0,0,
14 - Inyo,1/12/2017,In Review,0,0,
14 - Inyo,1/12/2017,Pending Construction,30000,1,
14 - Inyo,1/12/2017,In Construction,0,0,
14 - Inyo,1/12/2017,In Closure,45000,1,
15 - Kern,1/12/2017,In Review,50041381,25,
15 - Kern,1/12/2017,Pending Construction,4800135,19,
15 - Kern,1/12/2017,In Construction,88786806,49,
15 - Kern,1/12/2017,In Closure,6921689,7,
16 - Kings,1/12/2017,In Review,55000,1,
16 - Kings,1/12/2017,Pending Construction,188913,5,
16 - Kings,1/12/2017,In Construction,786054,10,
16 - Kings,1/12/2017,In Closure,137247,3,
17 - Lake,1/12/2017,In Review,3974478,3,
17 - Lake,1/12/2017,Pending Construction,49786,4,
17 - Lake,1/12/2017,In Construction,2955237,15,
17 - Lake,1/12/2017,In Closure,0,0,
18 - Lassen,1/12/2017,In Review,120000,1,
18 - Lassen,1/12/2017,Pending Construction,335730,3,
18 - Lassen,1/12/2017,In Construction,1408950,7,
18 - Lassen,1/12/2017,In Closure,899725,3,
19 - Los Angeles,1/12/2017,In Review,1147996330,453,Greater Los Angeles Counties
19 - Los Angeles,1/12/2017,Pending Construction,199377123,438,Greater Los Angeles Counties
19 - Los Angeles,1/12/2017,In Construction,632298539,856,Greater Los Angeles Counties
19 - Los Angeles,1/12/2017,In Closure,307416081,185,Greater Los Angeles Counties
20 - Madera,1/12/2017,In Review,52719012,6,
20 - Madera,1/12/2017,Pending Construction,143390,3,
20 - Madera,1/12/2017,In Construction,11829551,27,
20 - Madera,1/12/2017,In Closure,1124659,7,
21 - Marin,1/12/2017,In Review,157370975,15,Bay Area Counties
21 - Marin,1/12/2017,Pending Construction,39186153,23,Bay Area Counties
21 - Marin,1/12/2017,In Construction,118554993,39,Bay Area Counties
21 - Marin,1/12/2017,In Closure,895015,9,Bay Area Counties
22 - Mariposa,1/12/2017,In Review,0,0,
22 - Mariposa,1/12/2017,Pending Construction,0,0,
22 - Mariposa,1/12/2017,In Construction,133607,1,
22 - Mariposa,1/12/2017,In Closure,16718,1,
23 - Mendocino,1/12/2017,In Review,1145000,4,
23 - Mendocino,1/12/2017,Pending Construction,290100,5,
23 - Mendocino,1/12/2017,In Construction,19218878,12,
23 - Mendocino,1/12/2017,In Closure,44223367,5,
24 - Merced,1/12/2017,In Review,1256630,2,
24 - Merced,1/12/2017,Pending Construction,414296,5,
24 - Merced,1/12/2017,In Construction,1108093,14,
24 - Merced,1/12/2017,In Closure,0,0,
25 - Modoc,1/12/2017,In Review,0,0,
25 - Modoc,1/12/2017,Pending Construction,0,0,
25 - Modoc,1/12/2017,In Construction,45000,1,
25 - Modoc,1/12/2017,In Closure,0,0,
26 - Mono,1/12/2017,In Review,60000,1,
26 - Mono,1/12/2017,Pending Construction,0,0,
26 - Mono,1/12/2017,In Construction,21000,1,
26 - Mono,1/12/2017,In Closure,0,0,
27 - Monterey,1/12/2017,In Review,13856998,15,
27 - Monterey,1/12/2017,Pending Construction,2016277,13,
27 - Monterey,1/12/2017,In Construction,46163691,27,
27 - Monterey,1/12/2017,In Closure,436344,3,
28 - Napa,1/12/2017,In Review,4404181,15,Bay Area Counties
28 - Napa,1/12/2017,Pending Construction,979311,6,Bay Area Counties
28 - Napa,1/12/2017,In Construction,4733292,24,Bay Area Counties
28 - Napa,1/12/2017,In Closure,280428,5,Bay Area Counties
29 - Nevada,1/12/2017,In Review,2617567,6,
29 - Nevada,1/12/2017,Pending Construction,7872141,11,
29 - Nevada,1/12/2017,In Construction,21879204,13,
29 - Nevada,1/12/2017,In Closure,10083385,5,
30 - Orange,1/12/2017,In Review,191560723,97,Greater Los Angeles Counties
30 - Orange,1/12/2017,Pending Construction,41475547,68,Greater Los Angeles Counties
30 - Orange,1/12/2017,In Construction,124387303,174,Greater Los Angeles Counties
30 - Orange,1/12/2017,In Closure,16135627,37,Greater Los Angeles Counties
31 - Placer,1/12/2017,In Review,84662556,13,Greater Sacramento Counties
31 - Placer,1/12/2017,Pending Construction,4165485,12,Greater Sacramento Counties
31 - Placer,1/12/2017,In Construction,17660816,29,Greater Sacramento Counties
31 - Placer,1/12/2017,In Closure,4251445,13,Greater Sacramento Counties
32 - Plumas,1/12/2017,In Review,0,0,
32 - Plumas,1/12/2017,Pending Construction,80000,4,
32 - Plumas,1/12/2017,In Construction,18859,3,
32 - Plumas,1/12/2017,In Closure,0,0,
33 - Riverside,1/12/2017,In Review,198811221,61,
33 - Riverside,1/12/2017,Pending Construction,53893337,54,
33 - Riverside,1/12/2017,In Construction,408817363,120,
33 - Riverside,1/12/2017,In Closure,28244655,40,
34 - Sacramento,1/12/2017,In Review,94674266,42,Greater Sacramento Counties
34 - Sacramento,1/12/2017,Pending Construction,39041981,60,Greater Sacramento Counties
34 - Sacramento,1/12/2017,In Construction,275532289,129,Greater Sacramento Counties
34 - Sacramento,1/12/2017,In Closure,166120112,55,Greater Sacramento Counties
35 - San Benito,1/12/2017,In Review,75000,1,
35 - San Benito,1/12/2017,Pending Construction,0,0,
35 - San Benito,1/12/2017,In Construction,103388,1,
35 - San Benito,1/12/2017,In Closure,23629915,1,
36 - San Bernardino,1/12/2017,In Review,626309252,73,
36 - San Bernardino,1/12/2017,Pending Construction,54851231,82,
36 - San Bernardino,1/12/2017,In Construction,289857585,126,
36 - San Bernardino,1/12/2017,In Closure,30408490,48,
37 - San Diego,1/12/2017,In Review,197630050,86,
37 - San Diego,1/12/2017,Pending Construction,86686247,136,
37 - San Diego,1/12/2017,In Construction,326823402,233,
37 - San Diego,1/12/2017,In Closure,129333167,77,
38 - San Francisco,1/12/2017,In Review,105203314,76,Bay Area Counties
38 - San Francisco,1/12/2017,Pending Construction,14322710,36,Bay Area Counties
38 - San Francisco,1/12/2017,In Construction,1360151087,120,Bay Area Counties
38 - San Francisco,1/12/2017,In Closure,221159190,41,Bay Area Counties
39 - San Joaquin,1/12/2017,In Review,24116390,21,
39 - San Joaquin,1/12/2017,Pending Construction,25463698,10,
39 - San Joaquin,1/12/2017,In Construction,23313770,32,
39 - San Joaquin,1/12/2017,In Closure,6552002,20,
40 - San Luis Obispo,1/12/2017,In Review,7815180,7,
40 - San Luis Obispo,1/12/2017,Pending Construction,1730732,5,
40 - San Luis Obispo,1/12/2017,In Construction,6309123,18,
40 - San Luis Obispo,1/12/2017,In Closure,92350,2,
41 - San Mateo,1/12/2017,In Review,39424984,33,Bay Area Counties
41 - San Mateo,1/12/2017,Pending Construction,132898495,25,Bay Area Counties
41 - San Mateo,1/12/2017,In Construction,67968745,53,Bay Area Counties
41 - San Mateo,1/12/2017,In Closure,10161783,18,Bay Area Counties
42 - Santa Barbara,1/12/2017,In Review,20732521,17,
42 - Santa Barbara,1/12/2017,Pending Construction,525515,9,
42 - Santa Barbara,1/12/2017,In Construction,223405492,43,
42 - Santa Barbara,1/12/2017,In Closure,19016258,18,
43 - Santa Clara,1/12/2017,In Review,338412054,59,Bay Area Counties
43 - Santa Clara,1/12/2017,Pending Construction,23684447,58,Bay Area Counties
43 - Santa Clara,1/12/2017,In Construction,1828538394,156,Bay Area Counties
43 - Santa Clara,1/12/2017,In Closure,28723200,35,Bay Area Counties
44 - Santa Cruz,1/12/2017,In Review,12585555,10,
44 - Santa Cruz,1/12/2017,Pending Construction,1596489,7,
44 - Santa Cruz,1/12/2017,In Construction,7022241,16,
44 - Santa Cruz,1/12/2017,In Closure,2793687,4,
45 - Shasta,1/12/2017,In Review,13522196,14,
45 - Shasta,1/12/2017,Pending Construction,1157950,7,
45 - Shasta,1/12/2017,In Construction,5689181,17,
45 - Shasta,1/12/2017,In Closure,1112509,4,
46 - Sierra,1/12/2017,In Review,101700,1,
46 - Sierra,1/12/2017,Pending Construction,0,0,
46 - Sierra,1/12/2017,In Construction,0,0,
46 - Sierra,1/12/2017,In Closure,0,0,
47 - Siskiyou,1/12/2017,In Review,4130500,3,
47 - Siskiyou,1/12/2017,Pending Construction,1668238,6,
47 - Siskiyou,1/12/2017,In Construction,1497250,4,
47 - Siskiyou,1/12/2017,In Closure,396887,3,
48 - Solano,1/12/2017,In Review,2653718,8,Bay Area Counties
48 - Solano,1/12/2017,Pending Construction,861330,16,Bay Area Counties
48 - Solano,1/12/2017,In Construction,80801855,26,Bay Area Counties
48 - Solano,1/12/2017,In Closure,10750885,16,Bay Area Counties
49 - Sonoma,1/12/2017,In Review,42667043,20,Bay Area Counties
49 - Sonoma,1/12/2017,Pending Construction,4842770,22,Bay Area Counties
49 - Sonoma,1/12/2017,In Construction,20159664,50,Bay Area Counties
49 - Sonoma,1/12/2017,In Closure,3300433,22,Bay Area Counties
50 - Stanislaus,1/12/2017,In Review,18596042,15,
50 - Stanislaus,1/12/2017,Pending Construction,4850192,20,
50 - Stanislaus,1/12/2017,In Construction,15448793,27,
50 - Stanislaus,1/12/2017,In Closure,1318154,9,
51 - Sutter,1/12/2017,In Review,562095,4,
51 - Sutter,1/12/2017,Pending Construction,0,0,
51 - Sutter,1/12/2017,In Construction,30925,2,
51 - Sutter,1/12/2017,In Closure,35179,1,
52 - Tehama,1/12/2017,In Review,165000,2,
52 - Tehama,1/12/2017,Pending Construction,330000,2,
52 - Tehama,1/12/2017,In Construction,1418291,7,
52 - Tehama,1/12/2017,In Closure,338468,1,
53 - Trinity,1/12/2017,In Review,0,0,
53 - Trinity,1/12/2017,Pending Construction,178500,3,
53 - Trinity,1/12/2017,In Construction,1382817,1,
53 - Trinity,1/12/2017,In Closure,0,0,
54 - Tulare,1/12/2017,In Review,25621544,9,
54 - Tulare,1/12/2017,Pending Construction,4178080,8,
54 - Tulare,1/12/2017,In Construction,46809838,23,
54 - Tulare,1/12/2017,In Closure,1691306,6,
55 - Tuolumne,1/12/2017,In Review,0,0,
55 - Tuolumne,1/12/2017,Pending Construction,68000,1,
55 - Tuolumne,1/12/2017,In Construction,1925602,1,
55 - Tuolumne,1/12/2017,In Closure,0,0,
56 - Ventura,1/12/2017,In Review,29562829,23,Greater Los Angeles Counties
56 - Ventura,1/12/2017,Pending Construction,2939908,23,Greater Los Angeles Counties
56 - Ventura,1/12/2017,In Construction,590181379,70,Greater Los Angeles Counties
56 - Ventura,1/12/2017,In Closure,21063361,7,Greater Los Angeles Counties
57 - Yolo,1/12/2017,In Review,6282179,7,Greater Sacramento Counties
57 - Yolo,1/12/2017,Pending Construction,492140,4,Greater Sacramento Counties
57 - Yolo,1/12/2017,In Construction,9596303,7,Greater Sacramento Counties
57 - Yolo,1/12/2017,In Closure,3579347,6,Greater Sacramento Counties
58 - Yuba,1/12/2017,In Review,242448,2,
58 - Yuba,1/12/2017,Pending Construction,5729260,8,
58 - Yuba,1/12/2017,In Construction,55906918,12,
58 - Yuba,1/12/2017,In Closure,89170550,2,
01 - Alameda,1/26/2017,In Review,163101820,49,Bay Area Counties
01 - Alameda,1/26/2017,Pending Construction,71485442,42,Bay Area Counties
01 - Alameda,1/26/2017,In Construction,547047623,113,Bay Area Counties
01 - Alameda,1/26/2017,In Closure,7374181,25,Bay Area Counties
02 - Alpine,1/26/2017,In Review,0,0,
02 - Alpine,1/26/2017,Pending Construction,0,0,
02 - Alpine,1/26/2017,In Construction,0,0,
02 - Alpine,1/26/2017,In Closure,0,0,
03 - Amador,1/26/2017,In Review,1461329,2,
03 - Amador,1/26/2017,Pending Construction,480000,3,
03 - Amador,1/26/2017,In Construction,4058256,8,
03 - Amador,1/26/2017,In Closure,199818,2,
04 - Butte,1/26/2017,In Review,87190000,6,
04 - Butte,1/26/2017,Pending Construction,2406929,5,
04 - Butte,1/26/2017,In Construction,1386192,9,
04 - Butte,1/26/2017,In Closure,1732156,3,
05 - Calaveras,1/26/2017,In Review,300000,2,
05 - Calaveras,1/26/2017,Pending Construction,0,0,
05 - Calaveras,1/26/2017,In Construction,149334,3,
05 - Calaveras,1/26/2017,In Closure,0,0,
06 - Colusa,1/26/2017,In Review,0,0,
06 - Colusa,1/26/2017,Pending Construction,0,0,
06 - Colusa,1/26/2017,In Construction,0,0,
06 - Colusa,1/26/2017,In Closure,0,0,
07 - Contra Costa,1/26/2017,In Review,63730008,25,Bay Area Counties
07 - Contra Costa,1/26/2017,Pending Construction,11601131,33,Bay Area Counties
07 - Contra Costa,1/26/2017,In Construction,36116601,55,Bay Area Counties
07 - Contra Costa,1/26/2017,In Closure,10673396,20,Bay Area Counties
08 - Del Norte,1/26/2017,In Review,15000,1,
08 - Del Norte,1/26/2017,Pending Construction,52100,2,
08 - Del Norte,1/26/2017,In Construction,2894634,6,
08 - Del Norte,1/26/2017,In Closure,48435,2,
09 - El Dorado,1/26/2017,In Review,4548080,8,Greater Sacramento Counties
09 - El Dorado,1/26/2017,Pending Construction,3466245,3,Greater Sacramento Counties
09 - El Dorado,1/26/2017,In Construction,12456848,15,Greater Sacramento Counties
09 - El Dorado,1/26/2017,In Closure,3487486,3,Greater Sacramento Counties
10 - Fresno,1/26/2017,In Review,155473200,17,
10 - Fresno,1/26/2017,Pending Construction,836569,7,
10 - Fresno,1/26/2017,In Construction,80945593,96,
10 - Fresno,1/26/2017,In Closure,1836899,21,
11 - Glenn,1/26/2017,In Review,0,0,
11 - Glenn,1/26/2017,Pending Construction,12962075,2,
11 - Glenn,1/26/2017,In Construction,0,0,
11 - Glenn,1/26/2017,In Closure,284685,1,
12 - Humboldt,1/26/2017,In Review,713100,3,
12 - Humboldt,1/26/2017,Pending Construction,9128500,8,
12 - Humboldt,1/26/2017,In Construction,88125026,11,
12 - Humboldt,1/26/2017,In Closure,2524583,7,
13 - Imperial,1/26/2017,In Review,8352600,7,
13 - Imperial,1/26/2017,Pending Construction,43240000,3,
13 - Imperial,1/26/2017,In Construction,30571603,9,
13 - Imperial,1/26/2017,In Closure,0,0,
14 - Inyo,1/26/2017,In Review,0,0,
14 - Inyo,1/26/2017,Pending Construction,30000,1,
14 - Inyo,1/26/2017,In Construction,0,0,
14 - Inyo,1/26/2017,In Closure,45000,1,
15 - Kern,1/26/2017,In Review,50041381,25,
15 - Kern,1/26/2017,Pending Construction,4800135,19,
15 - Kern,1/26/2017,In Construction,88786806,49,
15 - Kern,1/26/2017,In Closure,6921689,7,
16 - Kings,1/26/2017,In Review,55000,1,
16 - Kings,1/26/2017,Pending Construction,188913,5,
16 - Kings,1/26/2017,In Construction,786054,10,
16 - Kings,1/26/2017,In Closure,137247,3,
17 - Lake,1/26/2017,In Review,3974478,3,
17 - Lake,1/26/2017,Pending Construction,49786,4,
17 - Lake,1/26/2017,In Construction,2955237,15,
17 - Lake,1/26/2017,In Closure,0,0,
18 - Lassen,1/26/2017,In Review,120000,1,
18 - Lassen,1/26/2017,Pending Construction,335730,3,
18 - Lassen,1/26/2017,In Construction,1408950,7,
18 - Lassen,1/26/2017,In Closure,899725,3,
19 - Los Angeles,1/26/2017,In Review,1147996330,453,Greater Los Angeles Counties
19 - Los Angeles,1/26/2017,Pending Construction,199377123,438,Greater Los Angeles Counties
19 - Los Angeles,1/26/2017,In Construction,632298539,856,Greater Los Angeles Counties
19 - Los Angeles,1/26/2017,In Closure,307416081,185,Greater Los Angeles Counties
20 - Madera,1/26/2017,In Review,52719012,6,
20 - Madera,1/26/2017,Pending Construction,143390,3,
20 - Madera,1/26/2017,In Construction,11829551,27,
20 - Madera,1/26/2017,In Closure,1124659,7,
21 - Marin,1/26/2017,In Review,157370975,15,Bay Area Counties
21 - Marin,1/26/2017,Pending Construction,39186153,23,Bay Area Counties
21 - Marin,1/26/2017,In Construction,118554993,39,Bay Area Counties
21 - Marin,1/26/2017,In Closure,895015,9,Bay Area Counties
22 - Mariposa,1/26/2017,In Review,0,0,
22 - Mariposa,1/26/2017,Pending Construction,0,0,
22 - Mariposa,1/26/2017,In Construction,133607,1,
22 - Mariposa,1/26/2017,In Closure,16718,1,
23 - Mendocino,1/26/2017,In Review,1145000,4,
23 - Mendocino,1/26/2017,Pending Construction,290100,5,
23 - Mendocino,1/26/2017,In Construction,19218878,12,
23 - Mendocino,1/26/2017,In Closure,44223367,5,
24 - Merced,1/26/2017,In Review,1256630,2,
24 - Merced,1/26/2017,Pending Construction,414296,5,
24 - Merced,1/26/2017,In Construction,1108093,14,
24 - Merced,1/26/2017,In Closure,0,0,
25 - Modoc,1/26/2017,In Review,0,0,
25 - Modoc,1/26/2017,Pending Construction,0,0,
25 - Modoc,1/26/2017,In Construction,45000,1,
25 - Modoc,1/26/2017,In Closure,0,0,
26 - Mono,1/26/2017,In Review,60000,1,
26 - Mono,1/26/2017,Pending Construction,0,0,
26 - Mono,1/26/2017,In Construction,21000,1,
26 - Mono,1/26/2017,In Closure,0,0,
27 - Monterey,1/26/2017,In Review,13856998,15,
27 - Monterey,1/26/2017,Pending Construction,2016277,13,
27 - Monterey,1/26/2017,In Construction,46163691,27,
27 - Monterey,1/26/2017,In Closure,436344,3,
28 - Napa,1/26/2017,In Review,4404181,15,Bay Area Counties
28 - Napa,1/26/2017,Pending Construction,979311,6,Bay Area Counties
28 - Napa,1/26/2017,In Construction,4733292,24,Bay Area Counties
28 - Napa,1/26/2017,In Closure,280428,5,Bay Area Counties
29 - Nevada,1/26/2017,In Review,2617567,6,
29 - Nevada,1/26/2017,Pending Construction,7872141,11,
29 - Nevada,1/26/2017,In Construction,21879204,13,
29 - Nevada,1/26/2017,In Closure,10083385,5,
30 - Orange,1/26/2017,In Review,191560723,97,Greater Los Angeles Counties
30 - Orange,1/26/2017,Pending Construction,41475547,68,Greater Los Angeles Counties
30 - Orange,1/26/2017,In Construction,124387303,174,Greater Los Angeles Counties
30 - Orange,1/26/2017,In Closure,16135627,37,Greater Los Angeles Counties
31 - Placer,1/26/2017,In Review,84662556,13,Greater Sacramento Counties
31 - Placer,1/26/2017,Pending Construction,4165485,12,Greater Sacramento Counties
